#SampleID	Dataset	FullName	Acronyme	Bloc	Condition_01	Condition_02	Time
B3-PC-D2-T3	59	B3-PC-D2-T3	B3-PC-D2-T3	B3	PC	D2	T3
B3-PC-D2-T8	60	B3-PC-D2-T8	B3-PC-D2-T8	B3	PC	D2	T8
B3-PC-FM-T11	61	B3-PC-FM-T11	B3-PC-FM-T11	B3	PC	FM	T11
B3-PC-FM-T3	62	B3-PC-FM-T3	B3-PC-FM-T3	B3	PC	FM	T3
B3-PC-FM-T8	63	B3-PC-FM-T8	B3-PC-FM-T8	B3	PC	FM	T8
B3-P-D1-T11	64	B3-P-D1-T11	B3-P-D1-T11	B3	P	D1	T11
B3-P-D1-T3	65	B3-P-D1-T3	B3-P-D1-T3	B3	P	D1	T3
B3-P-D1-T8	66	B3-P-D1-T8	B3-P-D1-T8	B3	P	D1	T8
B3-P-D2-T11	67	B3-P-D2-T11	B3-P-D2-T11	B3	P	D2	T11
B3-P-D2-T3	68	B3-P-D2-T3	B3-P-D2-T3	B3	P	D2	T3
B3-P-D2-T8	69	B3-P-D2-T8	B3-P-D2-T8	B3	P	D2	T8
B3-P-FM-T11	70	B3-P-FM-T11	B3-P-FM-T11	B3	P	FM	T11
B3-P-FM-T3	71	B3-P-FM-T3	B3-P-FM-T3	B3	P	FM	T3
B3-P-FM-T8	72	B3-P-FM-T8	B3-P-FM-T8	B3	P	FM	T8
